spec_fullpath,label,ibra_bioregion,recording_id,time_local,longitude,latitude,__dummy__,cluster_km,cluster_hdb
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk000__mel.png,Finke,Finke,1-audio-6346898344__chunk000,7:59,134.23149,-29.26319,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk001__mel.png,Finke,Finke,1-audio-6346898344__chunk001,10:55,125.17441,-20.34459,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk002__mel.png,Finke,Finke,1-audio-6346898344__chunk002,7:00,127.58602,-20.4547,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk003__mel.png,Finke,Finke,1-audio-6346898344__chunk003,17:07,123.8591,-29.29508,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk004__mel.png,Finke,Finke,1-audio-6346898344__chunk004,8:24,139.18817,-27.24731,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk005__mel.png,Finke,Finke,1-audio-6346898344__chunk005,9:02,133.39252,-24.54189,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk006__mel.png,Finke,Finke,1-audio-6346898344__chunk006,7:59,134.23149,-29.26319,0,2,-1
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk000__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk000,5:53,124.76483,-31.31235,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk001__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk001,8:32,124.9756,-24.4069,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk002__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk002,10:36,122.4181,-22.40401,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk003__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk003,17:38,127.43177,-22.11884,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk000__mel.png,Tanami,Tanami,3-audio-2203375752__chunk000,12:42,132.19557,-21.71385,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk001__mel.png,Tanami,Tanami,3-audio-2203375752__chunk001,8:42,128.43265,-31.22621,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk000__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk000,10:03,126.33356,-20.5122,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk001__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk001,7:49,133.52791,-25.70655,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk002__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk002,11:20,122.31804,-29.17229,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk003__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk003,13:10,133.29156,-25.9507,0,1,0
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk004__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk004,10:36,122.4181,-22.40401,0,0,-1
