spec_fullpath,label,ibra_bioregion,recording_id,time_local,longitude,latitude,TSNE1,TSNE2
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk000__mel.png,Finke,Finke,1-audio-6346898344__chunk000,7:59,134.23149,-29.26319,-7.9514117,-29.888998
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk001__mel.png,Finke,Finke,1-audio-6346898344__chunk001,10:55,125.17441,-20.34459,-7.8221135,-29.507524
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk002__mel.png,Finke,Finke,1-audio-6346898344__chunk002,7:00,127.58602,-20.4547,-8.0376,-29.13407
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk003__mel.png,Finke,Finke,1-audio-6346898344__chunk003,17:07,123.8591,-29.29508,-7.5005727,-28.82621
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk004__mel.png,Finke,Finke,1-audio-6346898344__chunk004,8:24,139.18817,-27.24731,-7.068818,-28.318924
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk005__mel.png,Finke,Finke,1-audio-6346898344__chunk005,9:02,133.39252,-24.54189,-8.665229,-29.664682
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk006__mel.png,Finke,Finke,1-audio-6346898344__chunk006,7:59,134.23149,-29.26319,-8.748792,-28.824604
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk000__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk000,5:53,124.76483,-31.31235,-2.3915496,13.904032
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk001__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk001,8:32,124.9756,-24.4069,9.461281,-7.934242
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk002__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk002,10:36,122.4181,-22.40401,6.284533,-7.2182393
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk003__mel.png,MacDonnell Ranges,MacDonnell Ranges,2-audio-695039707__chunk003,17:38,127.43177,-22.11884,1.8964887,4.6554427
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk000__mel.png,Tanami,Tanami,3-audio-2203375752__chunk000,12:42,132.19557,-21.71385,8.675431,-3.6691458
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk001__mel.png,Tanami,Tanami,3-audio-2203375752__chunk001,8:42,128.43265,-31.22621,4.431759,3.39108
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk000__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk000,10:03,126.33356,-20.5122,15.097141,-13.099164
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk001__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk001,7:49,133.52791,-25.70655,19.625088,-23.425322
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk002__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk002,11:20,122.31804,-29.17229,20.724007,-23.931583
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk003__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk003,13:10,133.29156,-25.9507,21.387941,-23.715242
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk004__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk004,10:36,122.4181,-22.40401,21.838316,-24.742054
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk005__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk005,9:23,125.1139,-27.32218,20.131613,-22.864496
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk006__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk006,6:46,127.55,-28.17198,19.968836,-24.220112
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk007__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk007,9:02,133.39252,-24.54189,21.140486,-24.553062
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk008__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk008,10:31,127.43729,-29.10171,18.018778,-20.51762
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk009__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk009,6:55,138.84692,-30.81709,9.104629,-15.750172
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk010__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk010,8:25,128.014,-23.14916,19.612534,-23.506933
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk011__mel.png,Murray-Darling Depression,Murray-Darling Depression,4-audio-1074563498__chunk011,17:06,135.92697,-22.01439,17.327888,-20.23532
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\5-audio-7838854693__chunk000__mel.png,Central Ranges,Central Ranges,5-audio-7838854693__chunk000,16:46,136.05046,-25.96142,8.909892,-2.4391513
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\5-audio-7838854693__chunk001__mel.png,Central Ranges,Central Ranges,5-audio-7838854693__chunk001,7:00,127.58602,-20.4547,0.79883504,-3.687498
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk000__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk000,17:24,126.94685,-26.44284,32.800777,-23.360102
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk001__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk001,12:57,130.11884,-27.39033,33.114807,-24.020758
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk002__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk002,12:51,127.09844,-19.7596,31.671202,-21.75769
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk003__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk003,6:45,132.68895,-19.53973,32.12422,-19.626434
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk004__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk004,10:03,126.33356,-20.5122,30.865896,-19.076437
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk005__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk005,17:24,126.94685,-26.44284,31.982506,-23.116602
C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\6-audio-7400016106__chunk006__mel.png,Mitchell Grass Downs,Mitchell Grass Downs,6-audio-7400016106__chunk006,9:49,138.8985,-23.51181,34.04347,-22.719893
