recording_id,spectrogram_path,spectrogram_path.1,duration_sec,low_freq_hz,peak_freq_hz,high_freq_hz,peak_amplitude_db,snr_db,latitude,longitude,ibra_bioregion,habitat,date,time_local,season,temp_celcius,humidity,sex,age_class,timestamp,hour,month,spec_fullpath,label,file_exists,label_idx
1-audio-6346898344__chunk000,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk000__mel.png,5,591.4,928.5,1146.3,55.4,19.6,-29.26319,134.23149,Finke,Spinifex grassland,26/01/2023,7:59,Summer,19.7,27.1,Male,Adult,2023-01-26 07:59:00,7,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk000__mel.png,Finke,True,3
1-audio-6346898344__chunk001,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk001__mel.png,5,1007.5,1211.7,1677.1,66.6,13.5,-20.34459,125.17441,Finke,Spinifex grassland,26/01/2023,10:55,Summer,22.4,48.6,Male,Adult,2023-01-26 10:55:00,10,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk001__mel.png,Finke,True,3
1-audio-6346898344__chunk002,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk002__mel.png,5,1350.5,1571.6,1838.2,73.1,12.0,-20.4547,127.58602,Finke,Spinifex grassland,26/01/2023,7:00,Summer,30.7,24.1,Male,Adult,2023-01-26 07:00:00,7,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk002__mel.png,Finke,True,3
1-audio-6346898344__chunk003,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk003__mel.png,5,613.2,842.7,1218.1,53.2,16.2,-29.29508,123.8591,Finke,Spinifex grassland,26/01/2023,17:07,Summer,20.0,38.2,Male,Adult,2023-01-26 17:07:00,17,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk003__mel.png,Finke,True,3
1-audio-6346898344__chunk004,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk004__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk004__mel.png,5,240.1,488.6,1393.5,49.1,14.2,-27.24731,139.18817,Finke,Spinifex grassland,26/01/2023,8:24,Summer,17.3,67.0,Male,Adult,2023-01-26 08:24:00,8,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk004__mel.png,Finke,True,3
1-audio-6346898344__chunk005,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk005__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk005__mel.png,5,1644.0,2058.2,2967.4,93.1,17.7,-24.54189,133.39252,Finke,Spinifex grassland,26/01/2023,9:02,Summer,31.9,26.8,Male,Adult,2023-01-26 09:02:00,9,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk005__mel.png,Finke,True,3
1-audio-6346898344__chunk006,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk006__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk006__mel.png,5,591.4,928.5,1146.3,55.4,19.6,-29.26319,134.23149,Finke,Spinifex grassland,26/01/2023,7:59,Summer,19.7,27.1,Male,Adult,2023-01-26 07:59:00,7,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk006__mel.png,Finke,True,3
2-audio-695039707__chunk000,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk000__mel.png,5,728.1,1031.2,1418.5,79.5,13.5,-31.31235,124.76483,MacDonnell Ranges,Acacia shrubland,29/05/2024,5:53,Autumn,22.5,53.5,Unknown,Adult,2024-05-29 05:53:00,5,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk000__mel.png,MacDonnell Ranges,True,6
2-audio-695039707__chunk001,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk001__mel.png,5,513.4,774.0,1003.1,71.1,20.0,-24.4069,124.9756,MacDonnell Ranges,Acacia shrubland,29/05/2024,8:32,Autumn,24.1,74.2,Unknown,Adult,2024-05-29 08:32:00,8,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk001__mel.png,MacDonnell Ranges,True,6
2-audio-695039707__chunk002,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk002__mel.png,5,853.5,1178.6,1508.7,81.5,15.6,-22.40401,122.4181,MacDonnell Ranges,Acacia shrubland,29/05/2024,10:36,Autumn,26.0,56.5,Unknown,Adult,2024-05-29 10:36:00,10,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk002__mel.png,MacDonnell Ranges,True,6
2-audio-695039707__chunk003,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk003__mel.png,5,614.6,921.5,1320.2,79.2,10.6,-22.11884,127.43177,MacDonnell Ranges,Acacia shrubland,29/05/2024,17:38,Autumn,24.5,80.3,Unknown,Adult,2024-05-29 17:38:00,17,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk003__mel.png,MacDonnell Ranges,True,6
3-audio-2203375752__chunk000,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk000__mel.png,5,1185.3,1423.7,1667.9,73.1,14.3,-21.71385,132.19557,Tanami,Acacia shrubland,4/12/2024,12:42,Spring,40.7,63.9,Unknown,Juvenile,2024-12-04 12:42:00,12,12,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk000__mel.png,Tanami,True,10
3-audio-2203375752__chunk001,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk001__mel.png,5,1545.6,1799.4,2715.6,86.4,12.3,-31.22621,128.43265,Tanami,Acacia shrubland,4/12/2024,8:42,Spring,31.3,27.0,Unknown,Juvenile,2024-12-04 08:42:00,8,12,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk001__mel.png,Tanami,True,10
4-audio-1074563498__chunk000,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/4-audio-1074563498__chunk000__mel.png,5,1805.0,2317.9,3166.7,96.3,13.4,-20.5122,126.33356,Murray-Darling Depression,Eucalypt open woodland,17/11/2023,10:03,Spring,28.0,46.1,Male,Adult,2023-11-17 10:03:00,10,11,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\4-audio-1074563498__chunk000__mel.png,Murray-Darling Depression,True,8
