recording_id,spectrogram_path,spectrogram_path.1,duration_sec,low_freq_hz,peak_freq_hz,high_freq_hz,peak_amplitude_db,snr_db,latitude,longitude,ibra_bioregion,habitat,date,time_local,season,temp_celcius,humidity,sex,age_class,timestamp,hour,month,spec_fullpath,label,file_exists,label_idx,cnn_pred,cnn_conf,crnn_pred,crnn_conf,cluster_km
1-audio-6346898344__chunk000,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk000__mel.png,5,591.4,928.5,1146.3,55.4,19.6,-29.26319,134.23149,Finke,Spinifex grassland,26/01/2023,7:59,Summer,19.7,27.1,Male,Adult,2023-01-26 07:59:00,7,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk000__mel.png,Finke,True,3,Finke,0.9430705,Murray-Darling Depression,0.33305264,2
1-audio-6346898344__chunk001,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk001__mel.png,5,1007.5,1211.7,1677.1,66.6,13.5,-20.34459,125.17441,Finke,Spinifex grassland,26/01/2023,10:55,Summer,22.4,48.6,Male,Adult,2023-01-26 10:55:00,10,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk001__mel.png,Finke,True,3,Finke,0.982498,Murray-Darling Depression,0.3500359,2
1-audio-6346898344__chunk002,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk002__mel.png,5,1350.5,1571.6,1838.2,73.1,12.0,-20.4547,127.58602,Finke,Spinifex grassland,26/01/2023,7:00,Summer,30.7,24.1,Male,Adult,2023-01-26 07:00:00,7,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk002__mel.png,Finke,True,3,Finke,0.96164066,Murray-Darling Depression,0.34568602,2
1-audio-6346898344__chunk003,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk003__mel.png,5,613.2,842.7,1218.1,53.2,16.2,-29.29508,123.8591,Finke,Spinifex grassland,26/01/2023,17:07,Summer,20.0,38.2,Male,Adult,2023-01-26 17:07:00,17,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk003__mel.png,Finke,True,3,Finke,0.9704432,Murray-Darling Depression,0.3262067,2
1-audio-6346898344__chunk004,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk004__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk004__mel.png,5,240.1,488.6,1393.5,49.1,14.2,-27.24731,139.18817,Finke,Spinifex grassland,26/01/2023,8:24,Summer,17.3,67.0,Male,Adult,2023-01-26 08:24:00,8,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk004__mel.png,Finke,True,3,Finke,0.9644095,Murray-Darling Depression,0.2652652,2
1-audio-6346898344__chunk005,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk005__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk005__mel.png,5,1644.0,2058.2,2967.4,93.1,17.7,-24.54189,133.39252,Finke,Spinifex grassland,26/01/2023,9:02,Summer,31.9,26.8,Male,Adult,2023-01-26 09:02:00,9,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk005__mel.png,Finke,True,3,Finke,0.99315953,Murray-Darling Depression,0.30652514,2
1-audio-6346898344__chunk006,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk006__mel.png,spectrograms/Lophochroa_leadbeateri/1-audio-6346898344__chunk006__mel.png,5,591.4,928.5,1146.3,55.4,19.6,-29.26319,134.23149,Finke,Spinifex grassland,26/01/2023,7:59,Summer,19.7,27.1,Male,Adult,2023-01-26 07:59:00,7,1,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\1-audio-6346898344__chunk006__mel.png,Finke,True,3,Finke,0.98908806,Murray-Darling Depression,0.33890554,2
2-audio-695039707__chunk000,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk000__mel.png,5,728.1,1031.2,1418.5,79.5,13.5,-31.31235,124.76483,MacDonnell Ranges,Acacia shrubland,29/05/2024,5:53,Autumn,22.5,53.5,Unknown,Adult,2024-05-29 05:53:00,5,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk000__mel.png,MacDonnell Ranges,True,6,MacDonnell Ranges,0.48085445,Channel Country,0.24913667,0
2-audio-695039707__chunk001,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk001__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk001__mel.png,5,513.4,774.0,1003.1,71.1,20.0,-24.4069,124.9756,MacDonnell Ranges,Acacia shrubland,29/05/2024,8:32,Autumn,24.1,74.2,Unknown,Adult,2024-05-29 08:32:00,8,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk001__mel.png,MacDonnell Ranges,True,6,Burt Plain,0.17913604,Great Victoria Desert,0.36508685,0
2-audio-695039707__chunk002,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk002__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk002__mel.png,5,853.5,1178.6,1508.7,81.5,15.6,-22.40401,122.4181,MacDonnell Ranges,Acacia shrubland,29/05/2024,10:36,Autumn,26.0,56.5,Unknown,Adult,2024-05-29 10:36:00,10,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk002__mel.png,MacDonnell Ranges,True,6,MacDonnell Ranges,0.16916288,Great Victoria Desert,0.3613362,0
2-audio-695039707__chunk003,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk003__mel.png,spectrograms/Lophochroa_leadbeateri/2-audio-695039707__chunk003__mel.png,5,614.6,921.5,1320.2,79.2,10.6,-22.11884,127.43177,MacDonnell Ranges,Acacia shrubland,29/05/2024,17:38,Autumn,24.5,80.3,Unknown,Adult,2024-05-29 17:38:00,17,5,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\2-audio-695039707__chunk003__mel.png,MacDonnell Ranges,True,6,MacDonnell Ranges,0.39361367,Murray-Darling Depression,0.32493338,0
3-audio-2203375752__chunk000,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk000__mel.png,spectrograms/Lophochroa_leadbeateri/3-audio-2203375752__chunk000__mel.png,5,1185.3,1423.7,1667.9,73.1,14.3,-21.71385,132.19557,Tanami,Acacia shrubland,4/12/2024,12:42,Spring,40.7,63.9,Unknown,Juvenile,2024-12-04 12:42:00,12,12,C:\Users\rahma\Downloads\AI-Driven Bioacoustics\spectrograms\Lophochroa_leadbeateri\3-audio-2203375752__chunk000__mel.png,Tanami,True,10,Burt Plain,0.28823268,Great Victoria Desert,0.35336858,0
